Ulosottovelallisten määrä;
2008;232674
2009;243476
2010;240139
2011;243015
2012;246881
2013;238969
2014;240943
2015;231787
2016;243742
2017;246131
2018;306531
2019;261690
2020;273714
2021;284257
Yksikkö: Velallisten lkm:  ;
Lähde: Tilastokeskus, Ulosottoasiat;
